HongKong,47.75.18.13
SiliconValley,47.88.73.1,oss-us-west-1.aliyuncs.com
Virginia,47.252.95.42,oss-us-east-1.aliyuncs.com
Singapore,47.74.196.40,oss-ap-southeast-1.aliyuncs.com
Sydney,47.91.39.21,oss-ap-southeast-2.aliyuncs.com
Kuala_Lumpur,47.254.218.88,oss-ap-southeast-3.aliyuncs.com
Jakarta,149.129.200.96,oss-ap-southeast-5.aliyuncs.com
Mumbai,149.129.143.101,oss-ap-south-1.aliyuncs.com
Tokyo,47.91.8.42,oss-ap-northeast-1.aliyuncs.com
Frankfurt,47.254.186.9,oss-eu-central-1.aliyuncs.com
Longdon,8.208.40.20,oss-eu-west-1.aliyuncs.com
Dubai,47.91.99.127,oss-me-east-1.aliyuncs.com