us-east-2,52.15.247.160/27,us-east-2.quicksight.aws.amazon.com
us-east-1,52.23.63.224,us-east-1.quicksight.aws.amazon.com
us-west-2,54.70.204.128,us-west-2.quicksight.aws.amazon.com
ap-south-1,52.66.193.64,ap-south-1.quicksight.aws.amazon.com
ap-northeast-2,13.124.145.32,ap-northeast-2.quicksight.aws.amazon.com
ap-southeast-1,13.229.254.0,ap-southeast-1.quicksight.aws.amazon.com
ap-southeast-2,54.153.249.96,ap-southeast-2.quicksight.aws.amazon.com
ap-northeast-1,13.113.244.32,ap-northeast-1.quicksight.aws.amazon.com
ca-central-1,15.223.73.0,ca-central-1.quicksight.aws.amazon.com
eu-central-1,35.158.127.192,eu-central-1.quicksight.aws.amazon.com
eu-west-1,52.210.255.224,eu-west-1.quicksight.aws.amazon.com
eu-west-2,35.177.218.0,eu-west-2.quicksight.aws.amazon.com
eu-west-3,13.38.202.0,eu-west-3.quicksight.aws.amazon.com
eu-north-1,13.53.191.64,eu-north-1.quicksight.aws.amazon.com
sa-east-1,18.230.46.192,sa-east-1.quicksight.aws.amazon.com
gov-west-1,160.1.180.32,quicksight.us-gov-west-1.amazonaws.com