eastasia,52.229.216.48
southeastasia,52.139.250.96
australiacentral,20.37.227.104
australiacentral2,20.53.60.224
australiaeast,20.40.124.176
australiasoutheast,20.42.230.224
brazilsouth,191.233.26.176
brazilsoutheast,20.206.0.196
canadacentral,52.228.86.152
northeurope,52.158.28.64
westeurope,51.144.56.96
francecentral,20.40.129.32
francesouth,20.40.129.96
germanywestcentral,20.52.95.50
centralindia,52.140.108.216
southindia,20.192.153.106
japaneast,52.140.232.160
japanwest,20.189.194.102
koreacentral,20.41.69.24
norwayeast,51.120.235.248
norwaywest,51.13.143.48
qatarcentral,20.21.39.224
southafricanorth,102.133.219.136
switzerlandnorth,51.107.52.200
switzerlandwest,51.107.148.8
uaenorth,20.38.143.44
uksouth,51.105.9.128
ukwest,20.40.104.96
centralus,13.86.97.224
eastus,20.42.35.32
eastus2,20.49.102.24
northcentralus,23.100.224.16
southcentralus,20.45.5.160
westus,40.91.82.48
westus2,40.64.134.128
westus3,20.150.241.64