ap-beijing,140.249.68.149,cos.ap-beijing.myqcloud.com
ap-shanghai,58.217.230.58,cos.ap-shanghai.myqcloud.com
ap-guangzhou,14.119.113.22,cos.ap-guangzhou.myqcloud.com
ap-chengdu,182.140.199.13,cos.ap-chengdu.myqcloud.com
ap-chongqing,183.66.97.159,cos.ap-chongqing.myqcloud.com
ap-hongkong,119.28.80.58,cos.ap-hongkong.myqcloud.com
ap-singapore,150.109.0.191,cos.ap-singapore.myqcloud.com
na-toronto,45.113.69.73,cos.na-toronto.myqcloud.com
eu-frankfurt,49.51.129.251,cos.eu-frankfurt.myqcloud.com
ap-mumbai,119.28.242.179,cos.ap-mumbai.myqcloud.com
ap-seoul,119.28.147.117,cos.ap-seoul.myqcloud.com
na-siliconvalley,49.51.66.233,cos.na-siliconvalley.myqcloud.com
na-ashburn,49.51.77.119,cos.na-ashburn.myqcloud.com
ap-bangkok,150.109.165.64,cos.ap-bangkok.myqcloud.com
eu-moscow,162.62.3.46,cos.eu-moscow.myqcloud.com